Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.86869E-5,0.00686869,0.00394767,1,0,0
1.56673E-4,0.022535942,0.008981743,0.988636364,0,0
2.65375E-4,0.049073427,0.015165999,0.977272727,0,0
2.72623E-4,0.076335745,0.015576993,0.965909091,0,0
2.91344E-4,0.105470111,0.016637687,0.954545455,0,0
3.42595E-4,0.202668996,0.019535702,0.920454545,0,0
4.69652E-4,0.322483898,0.02668346,0.886363636,0,0
4.90859E-4,0.419332529,0.027871393,0.863636364,0,0
5.95044E-4,0.528908081,0.033686412,0.840909091,0,0
6.11177E-4,0.649900907,0.034583759,0.818181818,0,0
8.20583E-4,0.731959189,0.04615588,0.806818182,0,0
8.86549E-4,0.820614059,0.049772456,0.795454545,0,0
9.65617E-4,0.917175767,0.054089312,0.784090909,0,0
1.1132E-3,1.028495526,0.062094296,0.772727273,0,0
1.21138E-3,1.149634015,0.067382556,0.761363636,0,0
1.43314E-3,1.292947612,0.079216371,0.75,0,0
1.69928E-3,1.462876057,0.093221372,0.738636364,0,0
1.80602E-3,1.643478456,0.098778086,0.727272727,0,0
1.9085E-3,1.834328665,0.104080913,0.715909091,0,0
2.0405E-3,2.038378666,0.110865319,0.704545455,0,0
2.57448E-3,2.295826447,0.137790339,0.693181818,0,0
3.14611E-3,2.610437092,0.165710879,0.681818182,0,0
3.54688E-3,2.965125559,0.184745496,0.670454545,0,0
3.85269E-3,3.350394665,0.19897687,0.659090909,0,0
3.90995E-3,3.741389943,0.201613924,0.647727273,0,0
4.34015E-3,4.175404458,0.221149794,0.636363636,0,0
4.36019E-3,4.611423416,0.222048303,0.625,0,0
4.69124E-3,5.080547085,0.236738743,0.613636364,0,0
5.63805E-3,5.644352442,0.277240948,0.602272727,0,0
5.65705E-3,6.210056964,0.27803098,0.590909091,0,0
6.11068E-3,6.82112451,0.296646956,0.579545455,0,0
6.35241E-3,7.456366004,0.306370555,0.568181818,0,0
6.8114E-3,8.137505866,0.324464087,0.556818182,0,0
6.86691E-3,8.824196513,0.326620016,0.545454545,0,0
7.32135E-3,9.556331885,0.344013988,0.534090909,0,0
7.89798E-3,10.346129743,0.365439084,0.522727273,0,0
7.9913E-3,11.145259306,0.36883998,0.511363636,0,0
1.02872E-2,12.173978411,0.44700698,0.5,0,0
1.0709E-2,14.273594944,0.460276976,0.477272727,0.052631579,0
1.07241E-2,15.346008493,0.460747998,0.465909091,0.052631579,0
1.19342E-2,16.539425402,0.497045039,0.454545455,0.052631579,0
1.31664E-2,17.856060567,0.531496882,0.443181818,0.052631579,0
1.51539E-2,19.371450448,0.582165424,0.431818182,0.052631579,0
1.51539E-2,20.886840329,0.582165424,0.409090909,0.052631579,0
1.67643E-2,22.563269052,0.619171957,0.409090909,0.105263158,0
1.70361E-2,25.943304007,0.625085803,0.386363636,0.157894737,0
1.76881E-2,32.82292826,0.638901502,0.340909091,0.263157895,0
2.117E-2,36.708734817,0.704510007,0.318181818,0.315789474,0
2.117E-2,55.761743851,0.704510007,0.204545455,0.315789474,0
2.19677E-2,57.95851366,0.717776758,0.204545455,0.578947368,0
2.49759E-2,67.046417279,0.762667469,0.159090909,0.684210526,0
2.70597E-2,97.225927192,0.789504897,0.022727273,1,0
2.77407E-2,100,0.797599964,0.011363636,1,0
